What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding?,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?,q1 graded,q2 graded,q3 graded,q4 graded,q5 graded,q6 graded,coding_background_score,code_score(all),coding_proficiency(all),code_score(full name),coding_proficiency(full name),code_score(abbreviate name),coding_proficiency(abbreviate name),code_score(no name),coding_proficiency(no name),English_proficiency
Korean,2,10,0.0,5,3,2-5,TRUE,CodeHub,factorial_list,1,small_letter,1,sum_digit,1,Symmetry,1,most_freq,5,sum_squares,1,1.0,0.5,1.0,1.0,1,1,0.5,0.7125,0.6041666666666666,0.375,0.4916666666666667,0.2125,0.4375,0.375,0.4916666666666667,0.35000000000000003
Korean,3,0,0.0,1,2,2-5,TRUE,CodeHub,Self something,3,Idontknow,5,Sum divide,1,decalcomanie,1,,5,,1,0.0,0.0,0.5,0.0,0,0,0.5,0.1875,0.3625,0.125,0.3416666666666666,0.125,0.3416666666666666,0.1875,0.3625,0.26666666666666666
Korean,3,2,0.0,1,2,0-1,TRUE,StackOverflow,재귀 또는 순환,3,,5,나머지의 합을 구하는 코드,1,정렬알고리즘??,3,빈도수가 가장 많은 문자 찾기,3,제곱근의 합,1,0.5,0.0,1.0,0.0,1,1,0.25,0.6125,0.4208333333333334,0.2875,0.3125,0.325,0.325,0.5,0.3833333333333333,0.31666666666666665
Hebrew,5,5,1.0,2,5,5-10,TRUE,StackOverflow,factorial,1,camel case,3,digit sum,5,palindrom,1,most common in list,3,sum of squares,5,1.0,1.0,1.0,1.0,1,1,0.75,0.7000000000000001,0.8166666666666668,0.5,0.75,0.4,0.7166666666666667,0.30000000000000004,0.6833333333333332,0.5916666666666666
Hebrew,4,3,1.0,1,4,5-10,TRUE,StackOverflow,רקורסיה,5,,3,סכום הספרות,1,2 pointers,2,מציאת המספר הפופולרי ביותר,2,סכום הריבועים,1,0.5,0.0,1.0,0.0,1,1,0.75,0.6125,0.7208333333333333,0.2625,0.6041666666666666,0.35,0.6333333333333334,0.5,0.6833333333333332,0.5416666666666666
Arabic,4,0,1.0,2,3,0-1,TRUE,StackOverflow,f,3,f,4,f,5,f,5,f,2,f,1,0.0,0.0,0.0,0.0,0,0,0.25,0.25,0.3666666666666667,0.25,0.3666666666666667,0.25,0.3666666666666667,0.25,0.3666666666666667,0.43333333333333335
Arabic,5,6,1.0,2,2,0-1,"""Hello""",,,3,,5,,5,,1,,5,A list of numbers with one squared,3,0.0,0.0,0.0,0.0,0,1,0.25,0.075,0.2416666666666667,0.0,0.21666666666666667,0.0,0.21666666666666667,0.075,0.2416666666666667,0.6166666666666666
French,4,1,0.0,1,3,10+,TRUE,StackOverflow,recursive,5,String manipulation,2,calculate digits sum,1,Not clear,5,digit frequency,1,sum square,1,0.5,0.5,1.0,0.0,1,1,1.0,0.6875,0.7625000000000001,0.2625,0.6208333333333332,0.425,0.6749999999999999,0.5,0.7000000000000001,0.325
Arabic,3,1,0.0,3,4,2-5,TRUE,StackOverflow,Factorial,4,Idk,5,DigitSum,1,If_same_elements,2,Most_common_frequnce,1,Vector_square,1,1.0,0.0,1.0,0.5,1,1,0.5,0.725,0.6750000000000002,0.35,0.5499999999999999,0.375,0.5583333333333333,0.5,0.6,0.22499999999999998
Arabic,5,2,1.0,1,4,0-1,TRUE,StackOverflow,calculate_factorial,5,split_capatlize_start,5,sum_of_digits,1,is_palindrome,1,most_common_num_in_list,1,Square_sum_of_list,1,1.0,0.5,1.0,1.0,1,1,0.25,0.7875000000000001,0.6125,0.4,0.4833333333333334,0.3875,0.4791666666666667,0.5,0.5166666666666667,0.55
Chinese,3,0,0.0,1,2,2-5,TRUE,StackOverflow,fi b,1,camelcase,1,,5,,5,,5,,5,0.5,1.0,0.0,0.0,0,0,0.5,0.4375,0.4458333333333333,0.3125,0.4041666666666666,0.375,0.425,0.25,0.3833333333333333,0.26666666666666666
Arabic,4,0,1.0,1,4,2-5,TRUE,StackOverflow,Fibonacci,4,,1,sumDigets,5,,1,,1,SqaresSum,1,0.5,0.0,1.0,0.0,0,1,0.5,0.42500000000000004,0.5750000000000001,0.275,0.525,0.25,0.5166666666666667,0.4,0.5666666666666668,0.4666666666666666
Arabic,5,0,1.0,1,4,0-1,TRUE,StackOverflow,factorial,4,Magic text,5,Ten_remainings,3,Symmetric text,2,,1,,1,1.0,0.0,0.0,1.0,0,0,0.25,0.4,0.4833333333333334,0.4,0.4833333333333334,0.25,0.43333333333333335,0.25,0.43333333333333335,0.5
Arabic,4,0,1.0,1,4,0-1,TRUE,StackOverflow,Fibo_func,5,First_Letter_cap,3,Sum_digits,1,Palindrome_func,3,Common_word_func,2,Square_sum,1,0.5,0.5,1.0,1.0,1,1,0.25,0.725,0.5916666666666667,0.3375,0.4625000000000001,0.38749999999999996,0.4791666666666667,0.5,0.5166666666666667,0.4666666666666666
Arabic,4,0,1.0,1,1,0-1,TRUE,CodeHub,بعرفش والله,5,بعرفشش,2,,1,,1,,1,,5,0.0,0.0,0.0,0.0,0,0,0.25,0.125,0.19166666666666665,0.125,0.19166666666666665,0.125,0.19166666666666665,0.125,0.19166666666666665,0.4666666666666666
Hebrew,3,1,1.0,1,3,2-5,TRUE,StackOverflow,Factorial,5,first word lower case other capitalized,5,digit sum,1,Palindrome checker,3,most common value in list,1,squares sum,1,1.0,0.5,1.0,1.0,1,1,0.5,0.7375,0.6124999999999999,0.35000000000000003,0.4833333333333334,0.3875,0.4958333333333333,0.5,0.5333333333333333,0.45833333333333337
Arabic,5,0,1.0,1,2,0-1,TRUE,StackOverflow,f(c),2,f(sent),1,f(number),1,f(B),1,f(lst),5,f(number_list),1,0.0,0.0,0.0,0.0,0,0,0.25,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.5
Arabic,4,0,1.0,1,4,0-1,TRUE,StackOverflow,Calculate,5,Change_to_opposite,1,digit_sum,1,is_polyndrome,2,Get_max_freq,1,Sum_squares,1,0.0,0.5,1.0,1.0,1,1,0.25,0.7875,0.6125,0.35,0.4666666666666666,0.4375,0.49583333333333335,0.5,0.5166666666666667,0.4666666666666666
English,5,10,1.0,1,4,0-1,TRUE,StackOverflow,Power,5,CamelcaseString,3,SumDigits,1,IsAnagram,3,MostCommonNumber,3,SquaresSum,1,0.5,1.0,1.0,1.0,1,1,0.25,0.7374999999999999,0.5958333333333333,0.3375,0.4625000000000001,0.4,0.4833333333333334,0.5,0.5166666666666667,1.0
Arabic,5,1,1.0,1,4,0-1,TRUE,StackOverflow,factorial,5,camelize,5,sum_digits,1,isPalindrome,3,get_most_frequent_char,3,get_square_sum,1,1.0,1.0,1.0,1.0,1,1,0.25,0.7,0.5833333333333334,0.35000000000000003,0.46666666666666673,0.35000000000000003,0.46666666666666673,0.5,0.5166666666666667,0.525
Arabic,5,2,1.0,1,5,2-5,TRUE,StackOverflow,CountDownFactorial,5,getCamelCase,1,getNumberDigitSum,3,isPalindrom,1,getMostCommonElement,1,getSquaresSumFromList,1,1.0,1.0,1.0,1.0,1,1,0.5,0.8500000000000001,0.7833333333333333,0.4,0.6333333333333333,0.5,0.6666666666666666,0.45,0.65,0.55
Arabic,4,3,1.0,1,4,2-5,TRUE,StackOverflow,factorial,1,CamelCase,1,sum_digits,5,is_palindrome,1,most_common,1,squares_sum,1,1.0,1.0,1.0,1.0,1,1,0.5,0.9,0.7333333333333334,0.5,0.6,0.5,0.6,0.4,0.5666666666666668,0.5416666666666666
Chinese,3,0,0.0,1,4,5-10,TRUE,CodeHub,def factorial(num):,5,def extract_data(sent),3,def sum_every_num(number):,3,def str_symmetry(word):,1,def count_num_max(lst):,1,def sum_square_lst(number_list):,1,1.0,0.0,1.0,1.0,1,1,0.75,0.6,0.7166666666666668,0.275,0.6083333333333333,0.25,0.6,0.325,0.625,0.26666666666666666
Arabic,5,1,1.0,2,3,2-5,TRUE,StackOverflow,Fibonacci,5,CamelCaseStringFormatter,5,NumberDigitSum,1,CheckPalindrome,1,FindMostFrequentMember,1,SquareSum,1,0.5,1.0,1.0,1.0,1,1,0.5,0.7875000000000001,0.6291666666666668,0.3875,0.4958333333333333,0.4,0.5,0.5,0.5333333333333333,0.49166666666666664
Chinese,4,5,1.0,1,4,10+,TRUE,StackOverflow,"A: An array of x! (0,1,2...C);",5,First letter -> lower case; oathers capital,1,"e.g., 999 --> 9+9+9 = 27",1,A symmetric string?,1,find the most freq,5,sum of square of numbers,1,0.0,0.5,0.5,1.0,1,1,1.0,0.65,0.8166666666666668,0.375,0.725,0.3375,0.7125,0.4375,0.7458333333333332,0.5916666666666666
Chinese,4,1,0.0,1,3,2-5,TRUE,StackOverflow,factorial,5,firstLowerCaseThenUpperCase,5,sumOfAllDigitsInANumber,1,searchIdenticalElementsInAnArray,1,elementWithMostFrequency,1,SumOfSquareNumber,1,1.0,1.0,1.0,0.5,1,1,0.5,0.7375,0.6124999999999999,0.3375,0.4791666666666667,0.4,0.5,0.5,0.5333333333333333,0.325
English,5,10,1.0,1,3,0-1,TRUE,StackOverflow,calcFibonacci,5,convertToCamelCase,2,sumOfDigits,1,checkIfPalindrome,4,mostCommonNum,1,sumOfSquares,1,0.5,1.0,1.0,1.0,1,1,0.25,0.7875000000000001,0.5458333333333334,0.3125,0.3875,0.475,0.44166666666666665,0.5,0.45,1.0
Hebrew,4,2,1.0,2,4,2-5,TRUE,StackOverflow,Factorial (Recursion with cache),1,Convert string to camelcase,5,Sum digits,1,Is palindrome,5,Find most common element,5,Sum of squares,1,1.0,1.0,1.0,1.0,1,1,0.5,0.7000000000000001,0.6666666666666666,0.4,0.5666666666666668,0.30000000000000004,0.5333333333333333,0.5,0.6,0.48333333333333334
Arabic,5,1,1.0,1,3,0-1,TRUE,StackOverflow,,1,Uppercase,5,Digit sum,3,Symettry,4,Mostusedword,3,Sumofsquares,4,0.0,0.5,1.0,1.0,1,1,0.25,0.5125000000000001,0.45416666666666666,0.3,0.3833333333333333,0.3375,0.3958333333333333,0.375,0.4083333333333334,0.525
Russian,5,4,1.0,1,4,10+,TRUE,StackOverflow,factorial,5,string_to_camel_case,1,sum_of_digits,1,check_if_string_is_symmetrical,3,find_most_common_element_in_a_list,1,sum_of_squares,1,1.0,1.0,1.0,1.0,1,1,1.0,0.85,0.8833333333333334,0.35000000000000003,0.7166666666666668,0.5,0.7666666666666666,0.5,0.7666666666666666,0.6
