What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding? ,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?
Arabic,5,1,1.0,1,4,0-1,True,StackOverflow,factorial,3,camelize,3,sum_digits,1,isPalindrome,2,get_most_frequent_char,2,get_square_sum,1
Arabic,5,2,1.0,1,5,2-5,True,StackOverflow,CountDownFactorial,5,getCamelCase,1,getNumberDigitSum,3,isPalindrom,1,getMostCommonElement,1,getSquaresSumFromList,1
Arabic,4,3,1.0,1,4,2-5,True,StackOverflow,factorial,4,CamelCase,4,sum_digits,5,is_palindrome,4,most_common,4,squares_sum,4
Chinese,3,0,0.0,1,4,5-10,True,CodeHub,def factorial(num):,3,def extract_data(sent),2,def sum_every_num(number):,2,def str_symmetry(word):,1,def count_num_max(lst):,1,def sum_square_lst(number_list):,1
Arabic,5,1,1.0,2,3,2-5,True,StackOverflow,Fibonacci,4,CamelCaseStringFormatter,4,NumberDigitSum,2,CheckPalindrome,2,FindMostFrequentMember,2,SquareSum,2
Chinese,4,5,1.0,1,4,10+,True,StackOverflow,"A: An array of x! (0,1,2...C);",2,First letter -> lower case; oathers capital,1,"e.g., 999 --> 9+9+9 = 27",1,A symmetric string?,1,find the most freq,2,sum of square of numbers,1
Chinese,4,1,0.0,1,3,2-5,True,StackOverflow,factorial,2,firstLowerCaseThenUpperCase,2,sumOfAllDigitsInANumber,1,searchIdenticalElementsInAnArray,1,elementWithMostFrequency,1,SumOfSquareNumber,1
English,0,0,,0,3,0-1,True,StackOverflow,calcFibonacci,5,convertToCamelCase,2,sumOfDigits,1,checkIfPalindrome,4,mostCommonNum,1,sumOfSquares,1
Hebrew,4,2,1.0,2,4,2-5,True,StackOverflow,Factorial (Recursion with cache),1,Convert string to camelcase,2,Sum digits,1,Is palindrome,2,Find most common element,2,Sum of squares,1
Arabic,5,1,1.0,1,3,0-1,True,StackOverflow,,1,Uppercase,5,Digit sum,3,Symettry,4,Mostusedword,3,Sumofsquares,4
Russian,5,4,1.0,1,4,10+,True,StackOverflow,factorial,4,string_to_camel_case,2,sum_of_digits,2,check_if_string_is_symmetrical,3,find_most_common_element_in_a_list,2,sum_of_squares,2
