What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding?,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?,q1 graded,q2 graded,q3 graded,q4 graded,q5 graded,q6 graded
Korean,2,10,0,5,3,2-5,TRUE,CodeHub,factorial_list,1,small_letter,1,sum_digit,1,Symmetry,1,most_freq,2,sum_squares,1,1,0.5,1,1,1,1
Korean,3,0,0,1,2,2-5,TRUE,CodeHub,Self something,4,Idontknow,5,Sum divide,3,decalcomanie,3,,5,,3,0,0,0.5,0,0,0
Korean,3,2,0,1,2,0-1,TRUE,StackOverflow,재귀 또는 순환,3,,5,나머지의 합을 구하는 코드,1,정렬알고리즘??,3,빈도수가 가장 많은 문자 찾기,3,제곱근의 합,1,0.5,0,1,0,1,1
Hebrew,5,5,1,2,5,5-10,TRUE,StackOverflow,factorial,3,camel case,4,digit sum,5,palindrom,3,most common in list,4,sum of squares,5,1,1,1,1,1,1
Hebrew,4,3,1,1,4,5-10,TRUE,StackOverflow,רקורסיה,4,,3,סכום הספרות,1,2 pointers,2,מציאת המספר הפופולרי ביותר,2,סכום הריבועים,1,0.5,0,1,0,1,1
Arabic,4,0,1,2,3,0-1,TRUE,StackOverflow,f,3,f,4,f,5,f,5,f,2,f,1,0,0,0,0,0,0
Arabic,5,6,1,2,2,0-1,"""Hello""",,,4,,5,,5,,3,,5,A list of numbers with one squared,4,0,0,0,0,0,1
French,4,1,0,1,3,10+,TRUE,StackOverflow,recursive,4,String manipulation,2,calculate digits sum,1,Not clear,4,digit frequency,1,sum square,1,0.5,0.5,1,0,1,1
Arabic,3,1,0,3,4,2-5,TRUE,StackOverflow,Factorial,4,Idk,5,DigitSum,1,If_same_elements,2,Most_common_frequnce,1,Vector_square,1,1,0,1,0.5,1,1
Arabic,5,2,1,1,4,0-1,TRUE,StackOverflow,calculate_factorial,2,split_capatlize_start,2,sum_of_digits,1,is_palindrome,1,most_common_num_in_list,1,Square_sum_of_list,1,1,0.5,1,1,1,1
Chinese,3,0,0,1,2,2-5,TRUE,StackOverflow,fi b,1,camelcase,1,,5,,5,,5,,5,0.5,1,0,0,0,0
Arabic,4,0,1,1,4,2-5,TRUE,StackOverflow,Fibonacci,3,,0,sumDigets,4,,0,,0,SqaresSum,0,0.5,0,1,0,0,1
Arabic,5,0,1,1,4,0-1,TRUE,StackOverflow,factorial,3,Magic text,4,Ten_remainings,2,Symmetric text,1,,0,,0,1,0,0,1,0,0
Arabic,4,0,1,1,4,0-1,TRUE,StackOverflow,Fibo_func,4,First_Letter_cap,3,Sum_digits,1,Palindrome_func,3,Common_word_func,2,Square_sum,1,0.5,0.5,1,1,1,1
Arabic,4,0,1,1,1,0-1,TRUE,CodeHub,بعرفش والله,4,بعرفشش,1,,0,,0,,0,,4,0,0,0,0,0,0
Hebrew,3,1,1,1,3,2-5,TRUE,StackOverflow,Factorial,3,first word lower case other capitalized,3,digit sum,1,Palindrome checker,2,most common value in list,1,squares sum,1,1,0.5,1,1,1,1
Arabic,5,0,1,1,2,0-1,TRUE,StackOverflow,f(c),2,f(sent),1,f(number),1,f(B),1,f(lst),4,f(number_list),1,0,0,0,0,0,0
Arabic,4,0,1,1,4,0-1,TRUE,StackOverflow,Calculate,4,Change_to_opposite,1,digit_sum,1,is_polyndrome,2,Get_max_freq,1,Sum_squares,1,0,0.5,1,1,1,1
English,0,0,,0,4,0-1,TRUE,StackOverflow,Power,3,CamelcaseString,2,SumDigits,1,IsAnagram,2,MostCommonNumber,2,SquaresSum,1,0.5,1,1,1,1,1
Arabic,5,1,1,1,4,0-1,TRUE,StackOverflow,factorial,3,camelize,3,sum_digits,1,isPalindrome,2,get_most_frequent_char,2,get_square_sum,1,1,1,1,1,1,1
Arabic,5,2,1,1,5,2-5,TRUE,StackOverflow,CountDownFactorial,5,getCamelCase,1,getNumberDigitSum,3,isPalindrom,1,getMostCommonElement,1,getSquaresSumFromList,1,1,1,1,1,1,1
Arabic,4,3,1,1,4,2-5,TRUE,StackOverflow,factorial,4,CamelCase,4,sum_digits,5,is_palindrome,4,most_common,4,squares_sum,4,1,1,1,1,1,1
Chinese,3,0,0,1,4,5-10,TRUE,CodeHub,def factorial(num):,3,def extract_data(sent),2,def sum_every_num(number):,2,def str_symmetry(word):,1,def count_num_max(lst):,1,def sum_square_lst(number_list):,1,1,0,1,1,1,1
Arabic,5,1,1,2,3,2-5,TRUE,StackOverflow,Fibonacci,4,CamelCaseStringFormatter,4,NumberDigitSum,2,CheckPalindrome,2,FindMostFrequentMember,2,SquareSum,2,0.5,1,1,1,1,1
Chinese,4,5,1,1,4,10+,TRUE,StackOverflow,"A: An array of x! (0,1,2...C);",2,First letter -> lower case; oathers capital,1,"e.g., 999 --> 9+9+9 = 27",1,A symmetric string?,1,find the most freq,2,sum of square of numbers,1,0,0.5,0.5,1,1,1
Chinese,4,1,0,1,3,2-5,TRUE,StackOverflow,factorial,2,firstLowerCaseThenUpperCase,2,sumOfAllDigitsInANumber,1,searchIdenticalElementsInAnArray,1,elementWithMostFrequency,1,SumOfSquareNumber,1,1,1,1,0.5,1,1
English,0,0,,0,3,0-1,TRUE,StackOverflow,calcFibonacci,5,convertToCamelCase,2,sumOfDigits,1,checkIfPalindrome,4,mostCommonNum,1,sumOfSquares,1,0.5,1,1,1,1,1
Hebrew,4,2,1,2,4,2-5,TRUE,StackOverflow,Factorial (Recursion with cache),1,Convert string to camelcase,2,Sum digits,1,Is palindrome,2,Find most common element,2,Sum of squares,1,1,1,1,1,1,1
Arabic,5,1,1,1,3,0-1,TRUE,StackOverflow,,1,Uppercase,5,Digit sum,3,Symettry,4,Mostusedword,3,Sumofsquares,4,0,0.5,1,1,1,1
Russian,5,4,1,1,4,10+,TRUE,StackOverflow,factorial,4,string_to_camel_case,2,sum_of_digits,2,check_if_string_is_symmetrical,3,find_most_common_element_in_a_list,2,sum_of_squares,2,1,1,1,1,1,1
